fat rat
wood shelf
tan girls
gold lamps
dry fur
sly fox
top chefs
our boss
two teams
all moms
new plans
large ants
teen apes
rude cats
rich cooks
fun games
pink toys
huge waves
healthy ears
his aunt
kind words
long fight
dead sharks
smart dogs
slim kids
sick boys
rear doors
pale hands
bad smells
mad foes
quiet lamb
smooth fork
green frogs
black skies
tall guys
gray goat
iced beer
old kings
blue eyes
white cars
young child
thin threads
their store
cute cubs
six farms
sharp knife
round soap
loud sound
weird clowns
her sons
giant bears
drunk dudes
little chick
brown bags
four maids
big rocks
fierce flood
warm ground
keen blades
poor friends
